,Precipitation_per_hr,runoff_per_hr,Cummulative_Time,cum_precip
0,0.0,720.0000000000007,0,0.0
1,0.0,0.0,1,0.0
2,0.0,0.0,2,0.0
3,0.0,0.0,3,0.0
4,0.0,360.00000000000034,4,0.0
5,0.01,1440.0000000000014,5,0.01
6,0.01,1440.0000000000014,6,0.02
7,0.060000000000000005,4590.000000000002,7,0.08
8,0.01,5040.000000000002,8,0.09
9,0.0,5040.000000000002,9,0.09
10,0.0,5040.000000000002,10,0.09
11,0.04,6390.000000000002,11,0.13
12,0.05,10260.0,12,0.18
13,0.13,29249.999999999996,13,0.31
14,0.0,21419.999999999996,14,0.31
15,0.0,25470.0,15,0.31
16,0.04,40590.00000000001,16,0.35
17,0.12,71639.99999999999,17,0.47
18,0.21,121769.99999999999,18,0.6799999999999999
19,0.11,121319.99999999999,19,0.7899999999999999
20,0.0,134550.0,20,0.7899999999999999
21,0.0,157680.0,21,0.7899999999999999
22,0.04,195209.99999999997,22,0.83
23,0.03,246780.0,23,0.86
24,0.0,271260.00000000006,24,0.86
25,0.0,287820.00000000006,25,0.86
26,0.0,297270.00000000006,26,0.86
27,0.0,308340.00000000006,27,0.86
28,0.03,301950.00000000006,28,0.89
29,0.0,290970.00000000006,29,0.89
30,0.0,277290.00000000006,30,0.89
31,0.01,261000.0,31,0.9
32,0.11,342090.0,32,1.01
33,0.02,916740.0,33,1.03
34,0.0,1221840.0,34,1.03
35,0.0,1199340.0,35,1.03
36,0.0,1096740.0,36,1.03
37,0.0,950940.0,37,1.03
38,0.0,827640.0,38,1.03
39,0.0,725940.0,39,1.03
40,0.39,914940.0,40,1.42
41,0.03,1753740.0,41,1.45
42,0.0,3069540.0,42,1.45
43,0.0,3276540.0,43,1.45
44,0.0,3094740.0,44,1.45
45,0.0,2623140.0,45,1.45
46,0.0,2194740.0,46,1.45
47,0.0,1883340.0,47,1.45
48,0.0,1629540.0,48,1.45
49,0.0,1421640.0,49,1.45
50,0.0,1268640.0,50,1.45
51,0.0,1121040.0,51,1.45
52,0.01,1007640.0,52,1.46
53,0.0,916740.0,53,1.46
54,0.0,846540.0,54,1.46
55,0.0,793440.0,55,1.46
56,0.0,733140.0,56,1.46
57,0.0,690840.0,57,1.46
58,0.0,652140.0,58,1.46
59,0.0,622440.0,59,1.46
60,0.0,583740.0,60,1.46
61,0.0,548640.0,61,1.46
62,0.0,534240.0,62,1.46
63,0.0,501840.0,63,1.46
64,0.0,472140.0,64,1.46
65,0.0,449640.0,65,1.46
66,0.0,428040.0,66,1.46
67,0.0,410040.0,67,1.46
68,0.0,395640.0,68,1.46
69,0.0,377640.0,69,1.46
70,0.0,357840.0,70,1.46
71,0.0,341640.0,71,1.46
72,0.0,83610.0,72,1.46
