# ---------------------------------- WARNING ----------------------------------------,,,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,,,
# for any damages resulting from its use.,,,,,,,,,
#,,,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,,,
#,,,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,,
#,,,,,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,,,,,
# retrieved: 2021-11-11 17:05:29 EST       (sdww01),,,,,,,,,
#,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,
#    USGS 04230380 OATKA CREEK AT WARSAW NY,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,
#,,,,,,,,,
# Data provided for site 04230380,,,,,,,,,
#            TS   parameter     Description,,,,,,,,,
"#        107605       00060     Discharge, cubic feet per second",,,,,,,,,
"#        107606       00065     Gage height, feet",,,,,,,,,
"#        254536       00045     Precipitation, total, inches",,,,,,,,,
#,,,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,,,
#     P  Provisional data subject to revision.,,,,,,,,,
# ,,,,,,,,,
agency_cd,site_no,datetime,tz_cd,107605_00060,107605_00060_cd,107606_00065,107606_00065_cd,254536_00045,254536_00045_cd
5s,15s,20d,6s,14n,10s,14n,10s,14n,10s
USGS,4230380,10/3/2021 0:00,EST,12.5,P,3.21,P,0,P
USGS,4230380,10/3/2021 0:15,EST,12.5,P,3.21,P,0,P
USGS,4230380,10/3/2021 0:30,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 0:45,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 1:00,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 1:15,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 1:30,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 1:45,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 2:00,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 2:15,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 2:30,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 2:45,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 3:00,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 3:15,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 3:30,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 3:45,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 4:00,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 4:15,EST,12.1,P,3.2,P,0,P
USGS,4230380,10/3/2021 4:30,EST,12.5,P,3.21,P,0,P
USGS,4230380,10/3/2021 4:45,EST,12.5,P,3.21,P,0.01,P
USGS,4230380,10/3/2021 5:00,EST,12.5,P,3.21,P,0,P
USGS,4230380,10/3/2021 5:15,EST,12.5,P,3.21,P,0,P
USGS,4230380,10/3/2021 5:30,EST,12.5,P,3.21,P,0,P
USGS,4230380,10/3/2021 5:45,EST,12.5,P,3.21,P,0,P
USGS,4230380,10/3/2021 6:00,EST,12.5,P,3.21,P,0.01,P
USGS,4230380,10/3/2021 6:15,EST,12.5,P,3.21,P,0,P
USGS,4230380,10/3/2021 6:30,EST,12.5,P,3.21,P,0,P
USGS,4230380,10/3/2021 6:45,EST,12.5,P,3.21,P,0.01,P
USGS,4230380,10/3/2021 7:00,EST,13,P,3.22,P,0.05,P
USGS,4230380,10/3/2021 7:15,EST,14,P,3.24,P,0,P
USGS,4230380,10/3/2021 7:30,EST,14,P,3.24,P,0,P
USGS,4230380,10/3/2021 7:45,EST,13.5,P,3.23,P,0.01,P
USGS,4230380,10/3/2021 8:00,EST,13.5,P,3.23,P,0,P
USGS,4230380,10/3/2021 8:15,EST,13.5,P,3.23,P,0,P
USGS,4230380,10/3/2021 8:30,EST,13.5,P,3.23,P,0,P
USGS,4230380,10/3/2021 8:45,EST,13.5,P,3.23,P,0,P
USGS,4230380,10/3/2021 9:00,EST,13.5,P,3.23,P,0,P
USGS,4230380,10/3/2021 9:15,EST,13.5,P,3.23,P,0,P
USGS,4230380,10/3/2021 9:30,EST,13.5,P,3.23,P,0,P
USGS,4230380,10/3/2021 9:45,EST,13.5,P,3.23,P,0,P
USGS,4230380,10/3/2021 10:00,EST,13.5,P,3.23,P,0,P
USGS,4230380,10/3/2021 10:15,EST,13.5,P,3.23,P,0,P
USGS,4230380,10/3/2021 10:30,EST,13.5,P,3.23,P,0,P
